Date,Open,High,Low,Close,Volume,daily_return,log_return,vol_20d,cluster_regime,vol_z
2015-02-26,8779.0,8786.0498046875,8669.4501953125,8683.849609375,217500,-0.009512719567139,-0.0095582544879628,0.1219525490623315,0.0,-0.22365534861953298
2015-02-27,8729.5,8856.9501953125,8717.4501953125,8844.599609375,249500,0.0185113753958217,0.0183421253958649,0.1394692575082325,1.0,-0.011073887955192428
2015-03-02,8953.849609375,8972.349609375,8885.4501953125,8956.75,218100,0.0126800980912831,0.0126003788387932,0.1342020089084062,0.0,-0.07499682213494684
2015-03-03,8962.849609375,9008.400390625,8925.5498046875,8996.25,177800,0.0044100817818963,0.0044003858673006,0.1345242884659764,0.0,-0.07108566158203138
2015-03-04,9109.150390625,9119.2001953125,8893.9501953125,8922.650390625,248400,-0.0081811431846602,-0.0082147923882021,0.1371191126717123,0.0,-0.03959506952667237
2015-03-05,8929.400390625,8957.5498046875,8849.349609375,8937.75,160100,0.0016922784950608,0.0016908482052135,0.1360025949867372,0.0,-0.05314504445847067
2015-03-09,8891.150390625,8891.2998046875,8740.4501953125,8756.75,155500,-0.0202511817851248,-0.0204590481140191,0.1561896199923192,0.0,0.19184317780987425
2015-03-10,8769.75,8778.0,8677.349609375,8712.0498046875,163800,-0.0051046558726125,-0.0051177291370559,0.1558409376946369,0.0,0.18761159558208138
2015-03-11,8728.75,8755.599609375,8682.349609375,8699.9501953125,172800,-0.0013888361116221,-0.0013898014383852,0.1442455737606609,0.0,0.04689112805634368
2015-03-12,8740.650390625,8787.2001953125,8732.900390625,8776.0,173900,0.0087414069023608,0.0087034220055012,0.1463253815110778,0.0,0.07213151901507416
2015-03-13,8844.0498046875,8849.75,8631.75,8647.75,179200,-0.0146137192342753,-0.0147215514720097,0.154874113959513,0.0,0.17587829520476742
2015-03-16,8656.75,8663.5498046875,8612.0,8633.150390625,163300,-0.0016882552542568,-0.0016896819631506,0.1507439671467648,0.0,0.12575514307696922
